jan;319;12200;15112;120;;125;390
feb;305;10644;14119;334;;117;357
mrt;505;12044;14775;448;;161;467
apr;535;11338;14289;236;;259;593
mei;416;11292;15121;332;;286;587
jun;362;10612;15371;616;;322;559
jul;384;10995;15782;292;;247;488
aug;349;10686;16104;52;;265;502
sep;391;10635;15674;62;;278;620
okt;362;11285;15105;13;;26;624
nov;423;11475;14223;217;;179;590
dec;399;12535;14385;270;;123;488
